freq,TL
104.5,36.313
109,36.498
113.5,36.659
118,36.796
122.5,36.911
127,37.004
131.5,37.076
136,37.127
140.5,37.157
145,37.166
149.5,37.154
154,37.123
158.5,37.07
163,36.996
167.5,36.902
172,36.785
176.5,36.646
181,36.485
185.5,36.299
190,36.089
194.5,35.853
199,35.589
203.5,35.297
208,34.973
212.5,34.617
217,34.224
221.5,33.792
226,33.316
230.5,32.792
235,32.213
239.5,31.573
244,30.86
248.5,30.063
253,29.165
257.5,28.142
262,26.962
266.5,25.576
271,23.906
275.5,21.817
280,19.047
284.5,14.961
289,7.3242
293.5,4.0659
298,13.551
302.5,18.152
307,21.141
311.5,23.345
316,25.081
320.5,26.508
325,27.712
329.5,28.749
334,29.654
338.5,30.453
343,31.164
347.5,31.8
352,32.372
356.5,32.888
361,33.354
365.5,33.775
370,34.156
374.5,34.5
379,34.81
383.5,35.089
388,35.338
392.5,35.56
397,35.755
401.5,35.925
406,36.071
410.5,36.194
415,36.295
419.5,36.373
424,36.431
428.5,36.467
433,36.483
437.5,36.478
442,36.452
446.5,36.406
451,36.339
455.5,36.251
460,36.142
464.5,36.01
469,35.857
473.5,35.681
478,35.48
482.5,35.255
487,35.004
491.5,34.725
496,34.417
500.5,34.077
505,33.704
509.5,33.295
514,32.846
518.5,32.353
523,31.81
527.5,31.213
532,30.552
536.5,29.819
541,28.999
545.5,28.075
550,27.025
554.5,25.812
559,24.386
563.5,22.664
568,20.503
572.5,17.615
577,13.284
581.5,4.8102
586,4.5648
590.5,13.168
595,17.777
599.5,20.445
604,22.4
608.5,24.081
613,25.468
617.5,26.642
622,27.652
626.5,28.535
631,29.314
635.5,30.008
640,30.631
644.5,31.195
649,31.711
653.5,32.198
658,32.713
662.5,33.841
667,34.072
671.5,33.44
676,33.678
680.5,33.913
685,34.122
689.5,34.304
694,34.461
698.5,34.592
703,34.7
707.5,34.785
712,34.848
716.5,34.89
721,34.91
725.5,34.909
730,34.887
734.5,34.845
739,34.782
743.5,34.698
748,34.594
752.5,34.467
757,34.319
761.5,34.149
766,33.955
770.5,33.738
775,33.496
779.5,33.228
784,32.933
788.5,32.609
793,32.254
797.5,31.866
802,31.443
806.5,30.982
811,30.481
815.5,29.936
820,29.347
824.5,28.72
829,28.105
833.5,28.057
838,26.765
842.5,24.785
847,23.568
851.5,22.143
856,20.412
860.5,18.232
865,15.317
869.5,10.943
874,2.3746
878.5,2.3849
883,10.837
887.5,15.118
892,17.947
896.5,20.038
901,21.695
905.5,23.053
910,24.196
914.5,25.176
919,26.028
923.5,26.775
928,27.435
932.5,28.022
937,28.545
941.5,29.012
946,29.429
950.5,29.801
955,30.133
959.5,30.428
964,30.688
968.5,30.916
973,31.115
977.5,31.285
982,31.428
986.5,31.545
991,31.637
995.5,31.705
1000,31.75
